team_name,shooter_bin,rebound_bin,half,scaled_rebound_prob,is_imputed
Anaheim Ducks,0-6 ft,0-6 ft,1st,0.03843669250645995,1
Anaheim Ducks,0-6 ft,12-18 ft,1st,0.004612403100775194,1
Anaheim Ducks,0-6 ft,18-24 ft,1st,0.004612403100775194,1
Anaheim Ducks,0-6 ft,24-30 ft,1st,0.000768733850129199,1
Anaheim Ducks,0-6 ft,30-36 ft,1st,0.002306201550387597,1
Anaheim Ducks,0-6 ft,36-42 ft,1st,0.002306201550387597,1
Anaheim Ducks,0-6 ft,48-54 ft,1st,0.003074935400516796,1
Anaheim Ducks,0-6 ft,54-60 ft,1st,0.000768733850129199,1
Anaheim Ducks,0-6 ft,6-12 ft,1st,0.049198966408268735,1
Anaheim Ducks,0-6 ft,60-66 ft,1st,0.000768733850129199,1
Anaheim Ducks,0-6 ft,72-99 ft,1st,0.000768733850129199,1
Anaheim Ducks,0-6 ft,0-6 ft,2nd,0.044904761904761906,1
Anaheim Ducks,0-6 ft,12-18 ft,2nd,0.005388571428571428,1
Anaheim Ducks,0-6 ft,18-24 ft,2nd,0.005388571428571428,1
Anaheim Ducks,0-6 ft,24-30 ft,2nd,0.0008980952380952381,1
Anaheim Ducks,0-6 ft,30-36 ft,2nd,0.002694285714285714,1
Anaheim Ducks,0-6 ft,36-42 ft,2nd,0.002694285714285714,1
Anaheim Ducks,0-6 ft,48-54 ft,2nd,0.0035923809523809524,1
Anaheim Ducks,0-6 ft,54-60 ft,2nd,0.0008980952380952381,1
Anaheim Ducks,0-6 ft,6-12 ft,2nd,0.05747809523809524,1
Anaheim Ducks,0-6 ft,60-66 ft,2nd,0.0008980952380952381,1
Anaheim Ducks,0-6 ft,72-99 ft,2nd,0.0008980952380952381,1
Anaheim Ducks,0-6 ft,0-6 ft,Whole,0.04283839520059993,0
Anaheim Ducks,0-6 ft,12-18 ft,Whole,0.005140607424071991,0
Anaheim Ducks,0-6 ft,18-24 ft,Whole,0.005140607424071991,0
Anaheim Ducks,0-6 ft,24-30 ft,Whole,0.0008567679040119985,0
Anaheim Ducks,0-6 ft,30-36 ft,Whole,0.0025703037120359956,0
Anaheim Ducks,0-6 ft,36-42 ft,Whole,0.0025703037120359956,0
Anaheim Ducks,0-6 ft,48-54 ft,Whole,0.003427071616047994,0
Anaheim Ducks,0-6 ft,54-60 ft,Whole,0.0008567679040119985,0
Anaheim Ducks,0-6 ft,6-12 ft,Whole,0.054833145856767906,0
Anaheim Ducks,0-6 ft,60-66 ft,Whole,0.0008567679040119985,0
Anaheim Ducks,0-6 ft,72-99 ft,Whole,0.0008567679040119985,0
Anaheim Ducks,12-18 ft,0-6 ft,1st,0.003482587064676617,0
Anaheim Ducks,12-18 ft,12-18 ft,1st,0.008884150675195452,0
Anaheim Ducks,12-18 ft,18-24 ft,1st,0.004548685145700071,0
Anaheim Ducks,12-18 ft,24-30 ft,1st,0.0017057569296375266,0
Anaheim Ducks,12-18 ft,30-36 ft,1st,0.0014925373134328356,0
Anaheim Ducks,12-18 ft,36-42 ft,1st,0.0013503909026297085,0
Anaheim Ducks,12-18 ft,42-48 ft,1st,0.0012793176972281449,0
Anaheim Ducks,12-18 ft,48-54 ft,1st,0.0011371712864250178,0
Anaheim Ducks,12-18 ft,54-60 ft,1st,0.0009239516702203268,0
Anaheim Ducks,12-18 ft,6-12 ft,1st,0.02181947405828003,0
Anaheim Ducks,12-18 ft,60-66 ft,1st,0.0004975124378109452,0
Anaheim Ducks,12-18 ft,66-72 ft,1st,0.00028429282160625445,0
Anaheim Ducks,12-18 ft,72-99 ft,1st,0.00021321961620469082,0
Anaheim Ducks,12-18 ft,0-6 ft,2nd,0.008468185388845247,0
Anaheim Ducks,12-18 ft,12-18 ft,2nd,0.021602513747054203,0
Anaheim Ducks,12-18 ft,18-24 ft,2nd,0.011060487038491752,0
Anaheim Ducks,12-18 ft,24-30 ft,2nd,0.004147682639434407,0
Anaheim Ducks,12-18 ft,30-36 ft,2nd,0.0036292223095051057,0
Anaheim Ducks,12-18 ft,36-42 ft,2nd,0.003283582089552239,0
Anaheim Ducks,12-18 ft,42-48 ft,2nd,0.003110761979575805,0
Anaheim Ducks,12-18 ft,48-54 ft,2nd,0.002765121759622938,0
Anaheim Ducks,12-18 ft,54-60 ft,2nd,0.002246661429693637,0
Anaheim Ducks,12-18 ft,6-12 ft,2nd,0.05305577376276512,0
Anaheim Ducks,12-18 ft,60-66 ft,2nd,0.0012097407698350353,0
Anaheim Ducks,12-18 ft,66-72 ft,2nd,0.0006912804399057345,0
Anaheim Ducks,12-18 ft,72-99 ft,2nd,0.0005184603299293009,0
Anaheim Ducks,12-18 ft,0-6 ft,Whole,0.005625717566016074,0
Anaheim Ducks,12-18 ft,12-18 ft,Whole,0.014351320321469577,0
Anaheim Ducks,12-18 ft,18-24 ft,Whole,0.007347876004592423,0
Anaheim Ducks,12-18 ft,24-30 ft,Whole,0.0027554535017221588,0
Anaheim Ducks,12-18 ft,30-36 ft,Whole,0.0024110218140068885,0
