teamCode,dist_bin,primary_goal_prob,rebound_creation_prob,secondary_xg_yield
ANA,0-6 ft,0.1687898089171974,0.1560509554140127,0.2442211456007594
ANA,6-9 ft,0.0970149253731343,0.1492537313432835,0.2244653060670102
ANA,9-12 ft,0.1318681318681318,0.1208791208791208,0.2149921337034213
ANA,12-15 ft,0.0747663551401869,0.1401869158878504,0.2085985634944435
ANA,15-18 ft,0.0608695652173913,0.0608695652173913,0.1955342241988078
ANA,18-21 ft,0.0459770114942528,0.057471264367816,0.1911699597523295
ANA,21-24 ft,0.0581395348837209,0.0348837209302325,0.1959841844069211
ANA,24-27 ft,0.0952380952380952,0.1047619047619047,0.1955305279462044
ANA,27-30 ft,0.1142857142857142,0.0476190476190476,0.1918460044918295
ANA,30-33 ft,0.0681818181818181,0.0833333333333333,0.1798510150158017
ANA,33-36 ft,0.0584415584415584,0.0844155844155844,0.1758227303880538
ANA,36-39 ft,0.0471698113207547,0.0566037735849056,0.1892109722076919
ANA,39-42 ft,0.03125,0.0390625,0.1821118261802267
ANA,42-45 ft,0.0141843971631205,0.0425531914893617,0.174613015840555
ANA,45-48 ft,0.0476190476190476,0.0476190476190476,0.1631306481548726
ANA,48-51 ft,0.0253164556962025,0.050632911392405,0.184222685479716
ANA,51-54 ft,0.027027027027027,0.027027027027027,0.17079010909642
ANA,54-57 ft,0.0178571428571428,0.0357142857142857,0.1845545286144094
ANA,57-60 ft,0.0109890109890109,0.0659340659340659,0.1765286798608058
ANA,60-63 ft,0.0333333333333333,0.05,0.1719082293681414
ANA,63-66 ft,0.0333333333333333,0.0333333333333333,0.1767669198125004
ANA,66-69 ft,0.0,0.024390243902439,0.1536475609914699
ARI,0-6 ft,0.2068965517241379,0.0344827586206896,0.2442211456007594
ARI,6-9 ft,0.1111111111111111,0.1031746031746031,0.2244653060670102
ARI,9-12 ft,0.1531531531531531,0.054054054054054,0.2149921337034213
ARI,12-15 ft,0.1417322834645669,0.0708661417322834,0.2085985634944435
ARI,15-18 ft,0.0891089108910891,0.099009900990099,0.1955342241988078
ARI,18-21 ft,0.058252427184466,0.0679611650485436,0.1911699597523295
ARI,21-24 ft,0.1121495327102803,0.0841121495327102,0.1959841844069211
ARI,24-27 ft,0.0656934306569343,0.072992700729927,0.1955305279462044
ARI,27-30 ft,0.1034482758620689,0.0689655172413793,0.1918460044918295
ARI,30-33 ft,0.0642857142857142,0.0357142857142857,0.1798510150158017
ARI,33-36 ft,0.0388349514563106,0.0776699029126213,0.1758227303880538
ARI,36-39 ft,0.0454545454545454,0.0454545454545454,0.1892109722076919
ARI,39-42 ft,0.0198675496688741,0.0529801324503311,0.1821118261802267
ARI,42-45 ft,0.018018018018018,0.081081081081081,0.174613015840555
ARI,45-48 ft,0.0104166666666666,0.03125,0.1631306481548726
ARI,48-51 ft,0.0113636363636363,0.0113636363636363,0.184222685479716
ARI,51-54 ft,0.0,0.0491803278688524,0.17079010909642
ARI,54-57 ft,0.0097087378640776,0.0194174757281553,0.1845545286144094
ARI,57-60 ft,0.0,0.0963855421686747,0.1765286798608058
ARI,60-63 ft,0.0142857142857142,0.0714285714285714,0.1719082293681414
ARI,63-66 ft,0.0,0.0759493670886076,0.1767669198125004
ARI,66-69 ft,0.0,0.0,0.1536475609914699
BOS,0-6 ft,0.05,0.15,0.2442211456007594
BOS,6-9 ft,0.087248322147651,0.1073825503355704,0.2244653060670102
BOS,9-12 ft,0.1144067796610169,0.1059322033898305,0.2149921337034213
BOS,12-15 ft,0.1,0.05,0.2085985634944435
BOS,15-18 ft,0.1111111111111111,0.1037037037037037,0.1955342241988078
BOS,18-21 ft,0.0927835051546391,0.0515463917525773,0.1911699597523295
BOS,21-24 ft,0.08130081300813,0.065040650406504,0.1959841844069211
BOS,24-27 ft,0.0496453900709219,0.0709219858156028,0.1955305279462044
BOS,27-30 ft,0.072072072072072,0.045045045045045,0.1918460044918295
BOS,30-33 ft,0.1205673758865248,0.0496453900709219,0.1798510150158017
BOS,33-36 ft,0.0701754385964912,0.0789473684210526,0.1758227303880538
BOS,36-39 ft,0.0875,0.04375,0.1892109722076919
BOS,39-42 ft,0.0526315789473684,0.0460526315789473,0.1821118261802267
BOS,42-45 ft,0.0538461538461538,0.0538461538461538,0.174613015840555
BOS,45-48 ft,0.0327868852459016,0.0245901639344262,0.1631306481548726
BOS,48-51 ft,0.034090909090909,0.034090909090909,0.184222685479716
BOS,51-54 ft,0.018018018018018,0.072072072072072,0.17079010909642
BOS,54-57 ft,0.0,0.087378640776699,0.1845545286144094
BOS,57-60 ft,0.0116279069767441,0.0348837209302325,0.1765286798608058
BOS,60-63 ft,0.0125,0.025,0.1719082293681414
BOS,63-66 ft,0.0,0.0638297872340425,0.1767669198125004
BOS,66-69 ft,0.03125,0.03125,0.1536475609914699
BUF,0-6 ft,0.2857142857142857,0.1428571428571428,0.2442211456007594
BUF,6-9 ft,0.1825396825396825,0.119047619047619,0.2244653060670102
BUF,9-12 ft,0.1517857142857142,0.125,0.2149921337034213
BUF,12-15 ft,0.1416666666666666,0.0416666666666666,0.2085985634944435
BUF,15-18 ft,0.0568181818181818,0.0738636363636363,0.1955342241988078
BUF,18-21 ft,0.1034482758620689,0.1120689655172413,0.1911699597523295
BUF,21-24 ft,0.0972222222222222,0.0416666666666666,0.1959841844069211
BUF,24-27 ft,0.1401273885350318,0.0891719745222929,0.1955305279462044
BUF,27-30 ft,0.0709677419354838,0.0451612903225806,0.1918460044918295
BUF,30-33 ft,0.0704225352112676,0.0798122065727699,0.1798510150158017
BUF,33-36 ft,0.0446927374301676,0.0446927374301676,0.1758227303880538
BUF,36-39 ft,0.0476190476190476,0.0408163265306122,0.1892109722076919
BUF,39-42 ft,0.0451612903225806,0.0516129032258064,0.1821118261802267
BUF,42-45 ft,0.0261437908496732,0.0261437908496732,0.174613015840555
BUF,45-48 ft,0.0303030303030303,0.0505050505050505,0.1631306481548726
BUF,48-51 ft,0.0,0.0697674418604651,0.184222685479716
BUF,51-54 ft,0.0,0.0606060606060606,0.17079010909642
BUF,54-57 ft,0.0,0.0297029702970297,0.1845545286144094
BUF,57-60 ft,0.0267857142857142,0.0714285714285714,0.1765286798608058
BUF,60-63 ft,0.0,0.0172413793103448,0.1719082293681414
BUF,63-66 ft,0.0,0.0263157894736842,0.1767669198125004
BUF,66-69 ft,0.0,0.037037037037037,0.1536475609914699
CAR,0-6 ft,0.1,0.175,0.2442211456007594
CAR,6-9 ft,0.1117318435754189,0.1675977653631284,0.2244653060670102
CAR,9-12 ft,0.1,0.1083333333333333,0.2149921337034213
CAR,12-15 ft,0.0675675675675675,0.1554054054054054,0.2085985634944435
CAR,15-18 ft,0.0921052631578947,0.0855263157894736,0.1955342241988078
CAR,18-21 ft,0.0769230769230769,0.1089743589743589,0.1911699597523295
CAR,21-24 ft,0.043010752688172,0.032258064516129,0.1959841844069211
CAR,24-27 ft,0.0437956204379562,0.072992700729927,0.1955305279462044
CAR,27-30 ft,0.0377358490566037,0.0471698113207547,0.1918460044918295
CAR,30-33 ft,0.0714285714285714,0.0785714285714285,0.1798510150158017
CAR,33-36 ft,0.0823529411764705,0.1,0.1758227303880538
